Date,Time,T,Per,Dec,Point,W,Cloud,1260,4220,5300,5000,2930,4470,3270,4600,5940,4580,2650,4130,6330,4590,4810,6340,370,4270,80,4710,5040,5430,1020,5970,6200,2610,5540,3410,4890,3900,5770,4760,4240,3810,4790,2660,2725,3450,2910,4980,5200,690,400,5070,4650,6610,1440,2150,2290,180,840,6550,3500,4880,2820,6360,3490,4430,6570,2190,420,4550,3380,4540,4040,740,3040,5910,5690,5710,4970,4440,4370,2810,4990,5590,3300,2740,6370
3/8/2021,6:50,0.04,m,1,h1,0,0,,4,,,,,,,,,,1,,1,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,2,,,
3/8/2021,7:20,0.08,m,1,h2,0,0,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
3/8/2021,7:37,0.1,m,1,h3,0,0,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,2,,,,,,,,1,,,
3/8/2021,8:10,0.15,m,1,h4,0,0,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,
3/9/2021,6:35,0.02,m,1,w1,0,0,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,
3/9/2021,6:50,0.04,m,1,w2,0,0,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/9/2021,7:00,0.05,m,1,w3,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,2,,1,,,,,,,,,
3/9/2021,7:20,0.08,m,1,w4,0,0,,1,,1,,,,,,,,1,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,6,1,,
3/9/2021,7:45,0.12,m,1,w5,0,0,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,1,1,,,,,,,,,,,,2,,,
3/9/2021,8:05,0.14,m,1,w6,0,0,,,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3/10/2021,10:15,0.33,n,1,h1,0,0,,1,,,,,,,,1,,,,,1,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,
3/10/2021,10:00,0.31,n,1,h2,0,0,,,,3,,,,,,1,,1,,,1,,,,,2,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,1,,
3/10/2021,9:40,0.28,n,1,h3,0,0,,1,,4,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
3/10/2021,9:20,0.25,n,1,h4,0,0,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,1,,
3/11/2021,9:15,0.25,n,2,w6,0,0.1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
3/11/2021,9:25,0.26,n,2,w5,0,0.1,,1,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,3,,,
3/11/2021,9:40,0.28,n,2,w4,0,0.1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,
3/11/2021,9:55,0.3,n,2,w3,0,0.1,,,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2021,10:05,0.32,n,2,w2,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/2021,10:15,0.33,n,2,w1,0,0.1,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,
3/12/2021,13:40,0.62,a,2,w3,0,0.6,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3/12/2021,13:50,0.63,a,2,w2,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
3/12/2021,14:00,0.65,a,2,w1,0,0.6,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2021,14:10,0.66,a,2,w4,0,0.6,,,1,5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
3/12/2021,14:30,0.69,a,2,w5,0,0.6,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2021,14:40,0.7,a,2,w6,0,0.6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,1,,,
3/13/2021,13:20,0.59,a,2,h4,0,0.95,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2021,13:35,0.61,a,2,h3,0,0.95,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
3/13/2021,13:50,0.63,a,2,h2,0,0.95,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3/13/2021,14:05,0.66,a,2,h1,0,0.95,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,
3/13/2021,16:45,0.88,e,2,w6,0,0.9,,,,1,,,,,,,,1,,,1,,,,1,,,,,2,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3/13/2021,16:55,0.89,e,2,w5,0,0.9,,1,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2021,17:10,0.92,e,2,w4,0,0.9,,,,4,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,
3/13/2021,17:20,0.93,e,2,w2,0,0.9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/13/2021,17:30,0.94,e,2,w3,0,0.9,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
3/13/2021,17:40,0.96,e,2,w1,0,0.9,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2021,7:20,0.01,m,2,w6,0,0.05,,1,,3,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3/15/2021,7:30,0.02,m,2,w5,0,0.05,,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
3/15/2021,7:40,0.03,m,2,w4,0,0.05,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,
3/15/2021,7:55,0.06,m,2,w2,0,0.05,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2021,8:00,0.06,m,2,w3,0,0.05,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3/15/2021,8:10,0.08,m,2,w1,0,0.05,,1,,2,,,,,,,,1,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2021,17:00,0.82,e,2,h1,0,0.6,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
3/15/2021,17:15,0.84,e,2,h2,0,0.7,,1,,2,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2021,17:30,0.86,e,2,h3,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,3,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,
3/15/2021,18:00,0.9,e,2,h4,0,0.9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,
3/16/2021,13:40,0.54,a,2,w4,3,1,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2021,13:50,0.55,a,2,w1,3,1,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2021,13:55,0.56,a,2,w2,3,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/16/2021,14:00,0.56,a,2,w3,3,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,
3/16/2021,14:20,0.59,a,2,w5,3,1,,1,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,
3/16/2021,14:30,0.61,a,2,w6,3,1,,1,,1,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2021,13:20,0.51,a,2,h1,4,1,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,,,,1,,,,,,1,,,,,,,2,,,
3/17/2021,13:30,0.52,a,2,h2,4,1,,1,,1,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2021,13:50,0.55,a,2,h3,4,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2021,14:05,0.57,a,2,h4,4,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,
3/18/2021,16:45,0.79,e,2,w6,5,1,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,2,,2,,,,,,,,,,,,,,1,,,,,,,,,,,
3/18/2021,16:55,0.81,e,2,w5,5,1,,1,,3,,,,,10,,,1,,,,,,1,,1,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,
3/18/2021,17:10,0.83,e,2,w4,5,1,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,1,,,
3/18/2021,17:15,0.83,e,2,w1,5,1,,,,2,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3/18/2021,17:25,0.85,e,2,w2,5,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/18/2021,17:30,0.85,e,2,w3,5,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3/20/2021,16:25,0.76,e,2,h1,0,0.1,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,1,,,
3/20/2021,17:15,0.83,e,2,h2,0,0.1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2021,17:25,0.85,e,2,h3,0,0.1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/20/2021,17:35,0.86,e,2,h4,0,0.1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2021,7:50,0.06,m,3,h4,0,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,
3/21/2021,8:05,0.08,m,3,h3,0,0,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,,,,,,2,,,
3/21/2021,8:20,0.1,m,3,h2,0,0,,1,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
3/21/2021,8:30,0.11,m,3,h1,0,0,,,,,,,,,,1,,1,,,1,,,1,,,,1,,5,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3/21/2021,10:55,0.31,n,3,w6,0,0.1,1,,,2,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,
3/21/2021,11:05,0.33,n,3,w5,0,0.2,,1,,6,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2021,11:15,0.34,n,3,w4,0,0.3,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,
3/21/2021,11:25,0.35,n,3,w2,0,0.3,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2021,11:30,0.36,n,3,w3,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2021,11:40,0.37,n,3,w1,0,0.3,,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2021,18:05,0.9,e,3,w4,1,0,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,
3/22/2021,18:15,0.91,e,3,w3,1,0.1,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
3/22/2021,18:20,0.92,e,3,w2,1,0.2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2021,18:30,0.93,e,3,w1,1,0.3,,,,2,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2021,18:50,0.96,e,3,w5,1,0.4,,,,7,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,
3/22/2021,19:00,0.97,e,3,w6,1,0.5,,,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,,,,,,,,
3/23/2021,13:05,0.49,a,3,h2,6,1,,1,,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,
3/23/2021,13:15,0.51,a,3,h1,1,1,,,,,,,,,,1,,,,1,,,1,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,
3/23/2021,13:40,0.54,a,3,h3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2021,13:55,0.56,a,3,h4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2021,13:20,0.51,a,3,w4,1,1,,,,8,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2021,13:30,0.53,a,3,w1,1,1,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2021,13:40,0.54,a,3,w2,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
3/24/2021,13:50,0.55,a,3,w3,1,1,,1,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
3/24/2021,14:15,0.59,a,3,w5,1,1,,1,,2,,,,,5,,,1,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,
3/24/2021,14:30,0.61,a,3,w6,1,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,1,,,,,,,1,,,
3/25/2021,7:40,0.05,m,3,h4,0,0.1,,1,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3/25/2021,7:50,0.07,m,3,h3,0,0.2,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,
3/25/2021,8:10,0.09,m,3,h2,0,0.3,,,,1,,,,,,1,,1,,,,,,3,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,
3/25/2021,8:20,0.11,m,3,h1,0,0.4,,,1,1,,,,,,1,,1,,,1,,1,2,,,,,,3,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,2,,,
3/26/2021,10:50,0.31,n,3,h4,1,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021,11:05,0.33,n,3,h3,1,1,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,
3/26/2021,11:20,0.35,n,3,h2,1,1,,1,,4,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
3/26/2021,11:30,0.36,n,3,h1,1,0.8,,,,1,,,,,,1,,1,,,,,,,1,1,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,1,,,
3/26/2021,13:05,0.49,a,3,w4,1,0.6,,1,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,
3/26/2021,13:15,0.51,a,3,w1,1,0.6,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3/26/2021,13:25,0.52,a,3,w2,1,0.6,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,
